"id_plot","plot_center_x","plot_center_y"
1,108195.007,186860.621
2,105474.356,183622.035
3,105316.027,183537.288
4,104977.896,182194.744
5,105043.106,182232.702
6,104228.128,182718.54
7,104056.294,182536.471
8,104135.93,182483.059
9,104189.565,182322.615
10,104279.542,182268.427
11,104155.414,182048.663
12,104240.177,181966.981
13,104084.753,181978.159
14,104014.062,181976.147
15,103907.24,182053.315
16,104033.113,182120.578
17,104315.145,181788.958
18,103841.343,181720.503
19,103941.158,181824.206
20,103481.926,180991.304
21,111915.124,186637.01
22,109954.591,185245.228
23,109935.968,185104.43
24,110253.63,184940.149
25,107198.335,178700.424
26,111377.539,176929.942
27,114625.749,177687.848
28,115020.711,177961.876
29,115070.811,178243.917
30,117075.863,178026.185
31,120331.14,184824.492
32,120564.794,186233.44
33,120401.626,186144.915
34,120568.96,186049.827
35,120481.28,185841.356
36,118951.373,185267.005
37,119125.456,185269.51
38,117540.08,185407.427
39,117564.29,185202.623
40,117558.224,185117.926
41,117686.632,185156.007
42,117532.524,184853.199
43,117597.316,184545.789
44,117602.423,184675.177
45,118145.444,185834.135
46,116687.388,186854.045
47,116914.441,186637.236
48,116838.202,186551.135
49,112724.605,183713.598
50,113005.451,183792.272
51,112903.818,183897.614
52,95235.199,187598.11
53,95016.721,187744.377
